iter	MultiClass
0	1.103998791
1	0.8460384727
2	0.6870528154
3	0.5799476841
4	0.5080439793
5	0.4456855112
6	0.4017954315
7	0.3670562304
8	0.3414197001
9	0.3209162381
10	0.3035519695
11	0.2918522361
12	0.2802106953
13	0.2685124347
14	0.2601938505
15	0.251208389
16	0.2448373128
17	0.2382518457
18	0.2333115407
19	0.2293302906
20	0.2254939797
21	0.2215322981
22	0.217639513
23	0.2142288325
24	0.2121062115
25	0.2095411956
26	0.2064844978
27	0.203536145
28	0.2009069565
29	0.1991946502
30	0.1975563517
31	0.1961415547
32	0.1943141314
33	0.1929310155
34	0.1913039804
35	0.1893649503
36	0.1878526749
37	0.1865357955
38	0.1851813224
39	0.184342487
40	0.1831758148
41	0.181810587
42	0.1809416193
43	0.1793095325
44	0.1782317108
45	0.1773761477
46	0.1761636783
47	0.1748915385
48	0.1741958258
49	0.172701633
50	0.1720134854
51	0.1708654295
52	0.170212673
53	0.168817249
54	0.1680281355
55	0.1674235675
56	0.1665821169
57	0.1659087579
58	0.1644589842
59	0.1638878731
60	0.1633921347
61	0.1624619455
62	0.1617558883
63	0.1608484995
64	0.1597448547
65	0.159306681
66	0.1584449154
67	0.157730163
68	0.1571996836
69	0.156625986
70	0.1558371301
71	0.1549786794
72	0.154616759
73	0.1541136347
74	0.1533770921
75	0.152961839
76	0.1524753805
77	0.151826149
78	0.1509954605
79	0.1505478695
80	0.1500560728
81	0.1495175471
82	0.1490039822
83	0.1482365103
84	0.1474935258
85	0.1470139643
86	0.1460785621
87	0.1452079315
88	0.1446297523
89	0.1440280791
90	0.1435074096
91	0.142940057
92	0.1424027111
93	0.1418375746
94	0.1412852399
95	0.1406325274
96	0.1402995681
97	0.1399153803
98	0.1396069719
99	0.1392201207
100	0.1385953895
101	0.1380210591
102	0.1375793691
103	0.1369707006
104	0.136672075
105	0.1362991067
106	0.1359460461
107	0.1350808477
108	0.1347359305
109	0.1344493383
110	0.1339439852
111	0.133382151
112	0.1330674725
113	0.1326004655
114	0.1322440961
115	0.1316415288
116	0.1313696987
117	0.1310892993
118	0.1304559481
119	0.1300065584
120	0.1294326796
121	0.1289253135
122	0.1285154987
123	0.1281387289
124	0.1277327207
125	0.1273653629
126	0.1268752037
127	0.1266477966
128	0.1261389629
129	0.125687892
130	0.1251834604
131	0.1249267393
132	0.1246486393
133	0.1239360434
134	0.1237695828
135	0.123439744
136	0.1231045749
137	0.122512435
138	0.1221474415
139	0.1216415718
140	0.1214886514
141	0.1210766337
142	0.1205821564
143	0.1200974676
144	0.1199169111
145	0.1193781835
146	0.1190224834
147	0.1182933545
148	0.1179043322
149	0.1176144169
150	0.1171021973
151	0.1167143331
152	0.1162966595
153	0.1158999365
154	0.115445396
155	0.1149976911
156	0.1144867781
157	0.1142032843
158	0.1136115616
159	0.1133582722
160	0.113031469
161	0.1126116678
162	0.1121689424
163	0.1119470666
164	0.1114318392
165	0.1112758571
166	0.1108863841
167	0.1104492042
168	0.1101248128
169	0.1093980442
170	0.108957491
171	0.1083450138
172	0.1081130772
173	0.1079117839
174	0.1076776218
175	0.1073786093
176	0.1072186579
177	0.1068859855
178	0.1063025495
179	0.1058905636
180	0.1055390254
181	0.1052192752
182	0.1049030225
183	0.1045460448
184	0.1043101314
185	0.1039624868
186	0.1037179629
187	0.1031518738
188	0.1026465767
189	0.1023042892
190	0.1018679108
191	0.1015479319
192	0.1012088701
193	0.1008549935
194	0.1005871184
195	0.1002118084
196	0.1000274289
197	0.09978004036
198	0.09956086429
199	0.09930806139
200	0.09882433718
201	0.09859044862
202	0.0982031928
203	0.09803314011
204	0.09787128612
205	0.09755842298
206	0.09731893131
207	0.09710975376
208	0.09691066154
209	0.09635373102
210	0.09611891855
211	0.095902741
212	0.09569558503
213	0.0954985589
214	0.09511119341
215	0.09466358962
216	0.09427394733
217	0.09399023373
218	0.0937817882
219	0.09358454528
220	0.09339837251
221	0.09310925323
222	0.09283376276
223	0.09267590243
224	0.09226472765
225	0.09183005745
226	0.09151638322
227	0.09126480277
228	0.09091556076
229	0.09061242479
230	0.0903664414
231	0.09003420367
232	0.08981217265
233	0.08957395354
234	0.08941061876
235	0.08926671617
236	0.08906315995
237	0.08891577163
238	0.08873067157
239	0.08854637825
240	0.08810914392
241	0.08793368755
242	0.08781430933
243	0.08748978655
244	0.08721026243
245	0.08700121866
246	0.08687352224
247	0.08663773389
248	0.08644439176
249	0.08628422653
250	0.08591051585
251	0.0857493131
252	0.08563618377
253	0.08524452887
254	0.08513151891
255	0.08482216878
256	0.08458744262
257	0.08440587883
258	0.08426584306
259	0.0840863437
260	0.08389346944
261	0.08370698536
262	0.0834391189
263	0.08328512129
264	0.08302173986
265	0.08274612654
266	0.08245763142
267	0.08233102825
268	0.08221426445
269	0.0819574789
270	0.08179432461
271	0.08151039633
272	0.08136678198
273	0.08111907303
274	0.08097455706
275	0.08079047962
276	0.08045994009
277	0.0801604172
278	0.07996526297
279	0.07982546689
280	0.07953425402
281	0.07930445353
282	0.07916916991
283	0.07885966586
284	0.07871085417
285	0.07837161668
286	0.07819046311
287	0.07792395805
288	0.07771852973
289	0.07762438608
290	0.07749130734
291	0.07735783063
292	0.07725640559
293	0.07715529295
294	0.07703589515
295	0.07690619639
296	0.07678132084
297	0.07654205194
298	0.07619340865
299	0.07594914509
